id	name	aliases	charge	formula
Undecaprenyl-diphospho-N-acetylmuramoyl-N-acetylglucosamine-L-alanyl-D-glutaminyl-L-lysyl-D-alanyl-D-alanine_c0	Undecaprenyl-diphospho-N-acetylmuramoyl-N-acetylglucosamine-L-alanyl-D-glutaminyl-L-lysyl-D-alanyl-D-alanine_c0	KEGG:;SEED:cpd03488	-2	C94H155N9O25P2
Glucose-1-phosphate_c0	Glucose-1-phosphate_c0	KEGG:C00103;SEED:cpd00089	-1	C6H12O9P
glycogenn-1_c0	glycogenn-1_c0	KEGG:;SEED:cpd15302	0	C24H42O21
Glycogen_c0	Glycogen_c0	KEGG:C00182;SEED:cpd00155	0	C30H52O26
Hydrogenobyrinate_diamide_c0	Hydrogenobyrinate_diamide_c0	KEGG:;SEED:cpd03913	-4	C45H58N6O12
Hydrogenobyrinate_c0	Hydrogenobyrinate_c0	KEGG:C06399;SEED:cpd03832	-6	C45H54N4O14
7-8-Diaminononanoate_c0	7-8-Diaminononanoate_c0	KEGG:C01037;SEED:cpd00764	1	C9H21N2O2
gly-pro-L_c0	gly-pro-L_c0	KEGG:;SEED:cpd11588	0	C7H12N2O3
5_10-Methenyltetrahydromethanopterin_c0	5_10-Methenyltetrahydromethanopterin_c0	KEGG:;SEED:cpd02655	-2	C31H41N6O16P
5-Formyl-H4MPT_c0	5-Formyl-H4MPT_c0	KEGG:C01274;SEED:cpd00936	-3	C31H42N6O17P
Ala-Leu_c0	Ala-Leu_c0	KEGG:;SEED:cpd11583	0	C9H18N2O3
1_2-didodecanoyl-sn-glycerol_3-phosphate_c0	1_2-didodecanoyl-sn-glycerol_3-phosphate_c0	KEGG:;SEED:cpd15521	-1	C27H52O8P
UDP-galactose_c0	UDP-galactose_c0	KEGG:C00052;SEED:cpd00043	-2	C15H22N2O17P2
Uracil_e0	Uracil_e0	KEGG:C00106;SEED:cpd00092	0	C4H4N2O2
Diisotetradecanoylphosphatidylserine_c0	Diisotetradecanoylphosphatidylserine_c0	KEGG:;SEED:cpd15691	-2	C34H64NO10P
octadecenoate_c0	octadecenoate_c0	KEGG:;SEED:cpd15269	-1	C18H33O2
Octadecenoyl-CoA_c0	Octadecenoyl-CoA_c0	KEGG:;SEED:cpd15274	-3	C39H65N7O17P3S
Gly-Met_c0	Gly-Met_c0	KEGG:;SEED:cpd11591	0	C7H14N2O3S
Anteisopentadecanoyllipoteichoic_acid_n=24__linked__unsubstituted_c0	Anteisopentadecanoyllipoteichoic_acid_n=24__linked__unsubstituted_c0	KEGG:;SEED:cpd15753	-24	C117H228O135P24
Anteisopentadecanoyllipoteichoic_acid_n=24__linked__N-acetyl-D-glucosamine_c0	Anteisopentadecanoyllipoteichoic_acid_n=24__linked__N-acetyl-D-glucosamine_c0	KEGG:;SEED:cpd15771	-24	C309H540N24O255P24
L-Methionine_S-oxide_c0	L-Methionine_S-oxide_c0	KEGG:;SEED:cpd01914	0	C5H11NO3S
phosphatidylserine_dioctadec-11-enoyl_c0	phosphatidylserine_dioctadec-11-enoyl_c0	KEGG:;SEED:cpd15558	-2	C42H76NO10P
S-Adenosyl-4-methylthio-2-oxobutanoate_c0	S-Adenosyl-4-methylthio-2-oxobutanoate_c0	KEGG:C04425;SEED:cpd02701	0	C15H19N5O6S
Co2_e0	Co2_e0	KEGG:;SEED:cpd00149	2	Co
phosphatidylserine_dihexadec-9-enoyl_c0	phosphatidylserine_dihexadec-9-enoyl_c0	KEGG:;SEED:cpd15556	-2	C38H68NO10P
CDP-1_2-dihexadec-9-enoylglycerol_c0	CDP-1_2-dihexadec-9-enoylglycerol_c0	KEGG:;SEED:cpd15418	-2	C44H75N3O15P2
dTDP-4-oxo-6-deoxy-D-glucose_c0	dTDP-4-oxo-6-deoxy-D-glucose_c0	KEGG:C11907;SEED:cpd00521	-2	C16H22N2O15P2
dTDP-4-amino-4_6-dideoxy-D-glucose_c0	dTDP-4-amino-4_6-dideoxy-D-glucose_c0	KEGG:;SEED:cpd02616	-1	C16H26N3O14P2
Lipoylprotein_c0	Lipoylprotein_c0	KEGG:C02051;SEED:cpd12005	0	CHRS2
Dihydrolipolprotein_c0	Dihydrolipolprotein_c0	KEGG:C02972;SEED:cpd12225	0	CH3RS2
1_2-dianteisopentadecanoyl-sn-glycerol_3-phosphate_c0	1_2-dianteisopentadecanoyl-sn-glycerol_3-phosphate_c0	KEGG:;SEED:cpd15681	-1	C33H64O8P
Diisohexadecanoylphosphatidylserine_c0	Diisohexadecanoylphosphatidylserine_c0	KEGG:;SEED:cpd15694	-2	C38H72NO10P
Ornithine_c0	Ornithine_c0	KEGG:C00077|C01602;SEED:cpd00064	1	C5H13N2O2
1_2-dihexadec-9-enoyl-sn-glycerol_3-phosphate_c0	1_2-dihexadec-9-enoyl-sn-glycerol_3-phosphate_c0	KEGG:;SEED:cpd15525	-1	C35H64O8P
Undecaprenyl_diphospho_N-acetyl-glucosamine_c0	Undecaprenyl_diphospho_N-acetyl-glucosamine_c0	KEGG:;SEED:cpd00946	-2	C63H103NO12P2
GMP_c0	GMP_c0	KEGG:C00144;SEED:cpd00126	-1	C10H13N5O8P
Guanosine_c0	Guanosine_c0	KEGG:C00387;SEED:cpd00311	0	C10H13N5O5
D-Mannose1-phosphate_c0	D-Mannose1-phosphate_c0	KEGG:C00636;SEED:cpd00485	-1	C6H12O9P
D-mannose-6-phosphate_c0	D-mannose-6-phosphate_c0	KEGG:C00275;SEED:cpd00235	-1	C6H12O9P
Thiamin_c0	Thiamin_c0	KEGG:C00378;SEED:cpd00305	1	C12H17N4OS
Thiamin_e0	Thiamin_e0	KEGG:C00378;SEED:cpd00305	1	C12H17N4OS
dGDP_c0	dGDP_c0	KEGG:C00361;SEED:cpd00295	-2	C10H13N5O10P2
Urea_c0	Urea_c0	KEGG:C00086;SEED:cpd00073	0	CH4N2O
Urea_e0	Urea_e0	KEGG:C00086;SEED:cpd00073	0	CH4N2O
Hexadecenoyl-CoA_c0	Hexadecenoyl-CoA_c0	KEGG:;SEED:cpd15238	-3	C37H61N7O17P3S
hexadecenoate_c0	hexadecenoate_c0	KEGG:;SEED:cpd15237	-1	C16H29O2
4-Hydroxy-2-oxoglutarate_c0	4-Hydroxy-2-oxoglutarate_c0	KEGG:C05946|C01127;SEED:cpd00830	-2	C5H4O6
4-Hydroxy-L-glutamate_c0	4-Hydroxy-L-glutamate_c0	KEGG:C03079|C05947;SEED:cpd01974	-1	C5H8NO5
2-Dehydropantoate_c0	2-Dehydropantoate_c0	KEGG:C00966;SEED:cpd00712	-1	C6H9O4
Pantoate_c0	Pantoate_c0	KEGG:C00522;SEED:cpd00408	-1	C6H11O4
4-Methyl-5-2-hydroxyethyl-thiazole_c0	4-Methyl-5-2-hydroxyethyl-thiazole_c0	KEGG:;SEED:cpd02636	0	C6H9NOS
Cytidine_c0	Cytidine_c0	KEGG:C00475;SEED:cpd00367	0	C9H13N3O5
phosphoserine_c0	phosphoserine_c0	KEGG:C01005;SEED:cpd00738	-1	C3H7NO6P
Isopentadecanoyllipoteichoic_acid_n=24__linked__N-acetyl-D-glucosamine_c0	Isopentadecanoyllipoteichoic_acid_n=24__linked__N-acetyl-D-glucosamine_c0	KEGG:;SEED:cpd15770	-24	C309H540N24O255P24
Isopentadecanoyllipoteichoic_acid_n=24__linked__unsubstituted_c0	Isopentadecanoyllipoteichoic_acid_n=24__linked__unsubstituted_c0	KEGG:;SEED:cpd15752	-24	C117H228O135P24
1_2-diisoheptadecanoyl-sn-glycerol_3-phosphate_c0	1_2-diisoheptadecanoyl-sn-glycerol_3-phosphate_c0	KEGG:;SEED:cpd15677	-1	C37H72O8P
Agmatine_c0	Agmatine_c0	KEGG:C00179;SEED:cpd00152	2	C5H16N4
fe3_c0	fe3_c0	KEGG:C14819;SEED:cpd10516	3	Fe
fe3_e0	fe3_e0	KEGG:C14819;SEED:cpd10516	3	Fe
H2O_e0	H2O_e0	KEGG:C00001|C01328;SEED:cpd00001	0	H2O
CO2_e0	CO2_e0	KEGG:C00011;SEED:cpd00011	0	CO2
tetrahydrodipicolinate_c0	tetrahydrodipicolinate_c0	KEGG:C03972;SEED:cpd02465	-2	C7H7NO4
L-2-Amino-acetoacetate_c0	L-2-Amino-acetoacetate_c0	KEGG:C03508;SEED:cpd02211	0	C4H7NO3
Mn2_c0	Mn2_c0	KEGG:;SEED:cpd00030	2	Mn
Cu2_c0	Cu2_c0	KEGG:;SEED:cpd00058	2	Cu
GSH_c0	GSH_c0	KEGG:C00051;SEED:cpd00042	-1	C10H16N3O6S
apo-ACP_c0	apo-ACP_c0	KEGG:C03688;SEED:cpd12370	0	HOR
Biomass_c0	Biomass_c0	KEGG:;SEED:cpd11416	0	
Ca2_c0	Ca2_c0	KEGG:;SEED:cpd00063	2	Ca
Cobinamide_c0	Cobinamide_c0	KEGG:C05774;SEED:cpd03422	3	C48H73CoN11O8
Calomide_c0	Calomide_c0	KEGG:C00194;SEED:cpd00166	1	C72H101CoN18O17P
ACP_c0	ACP_c0	KEGG:C00229;SEED:cpd11493	-1	C11H21N2O7PRS
Zn2_c0	Zn2_c0	KEGG:;SEED:cpd00034	2	Zn
3-Octaprenyl-4-hydroxybenzoate_c0	3-Octaprenyl-4-hydroxybenzoate_c0	KEGG:C05809;SEED:cpd03443	-1	C47H69O3
2-Octaprenylphenol_c0	2-Octaprenylphenol_c0	KEGG:C05810;SEED:cpd03444	0	C46H70O
5-methyl-hexanoyl-ACP_c0	5-methyl-hexanoyl-ACP_c0	KEGG:;SEED:cpd11524	-1	C18H33N2O8PRS
