id	charge	formula	name	aliases
5-Methyl-H4MPT_c0	-3	C31H44N6O16P	5-Methyl-H4MPT_c0	C04488|cpd02737
Methyl_CoM_c0	-1	C3H7O3S2	Methyl_CoM_c0	|
H4MPT_c0	-3	C30H42N6O16P	H4MPT_c0	C01217|cpd00895
CoM_c0	-1	C2H5O3S2	CoM_c0	C03576|cpd02246
D-Alanine_c0	0	C3H7NO2	D-Alanine_c0	C00133|cpd00117
Adenine_c0	0	C5H5N5	Adenine_c0	C00147|cpd00128
methylthioribose-1-phosphate_c0	-1	C6H12O7PS	methylthioribose-1-phosphate_c0	C04188|cpd02574
CDP-1_2-dianteisoheptadecanoylglycerol_c0	-2	C46H83N3O15P2	CDP-1_2-dianteisoheptadecanoylglycerol_c0	|
1_2-dianteisoheptadecanoyl-sn-glycerol_3-phosphate_c0	-1	C37H72O8P	1_2-dianteisoheptadecanoyl-sn-glycerol_3-phosphate_c0	|
4-phosphopantothenate_c0	-2	C9H16NO8P	4-phosphopantothenate_c0	C03492|cpd02201
3MOP_c0	-1	C6H9O3	3MOP_c0	C03465|C00671|cpd00508
2_3-Dihydroxy-3-methylvalerate_c0	-1	C6H11O4	2_3-Dihydroxy-3-methylvalerate_c0	|
imidazole_acetol-phosphate_c0	-1	C6H8N2O5P	imidazole_acetol-phosphate_c0	|
L-histidinol-phosphate_c0	0	C6H12N3O4P	L-histidinol-phosphate_c0	C01100|cpd00807
FAD_c0	-2	C27H31N9O15P2	FAD_c0	C00016|cpd00015
FADH2_c0	-2	C27H33N9O15P2	FADH2_c0	C01352|cpd00982
Cobalt-precorrin_6_c0	-6	C44H46CoN4O16	Cobalt-precorrin_6_c0	|
1-2-carboxyphenylamino-1-deoxyribulose_5-phosphate_c0	-2	C12H14NO9P	1-2-carboxyphenylamino-1-deoxyribulose_5-phosphate_c0	|
Undecaprenylphosphate_c0	-1	C55H90O4P	Undecaprenylphosphate_c0	C17556|C00348|cpd00286
Propionyl-CoA_c0	-3	C24H37N7O17P3S	Propionyl-CoA_c0	C00100|cpd00086
Propionate_c0	-1	C3H5O2	Propionate_c0	C00163|cpd00141
D-Erythrose4-phosphate_c0	-1	C4H8O7P	D-Erythrose4-phosphate_c0	C00279|cpd00236
UppppU_c0	-4	C18H22N4O23P4	UppppU_c0	C06198|cpd03706
Citrulline_c0	0	C6H13N3O3	Citrulline_c0	C00327|cpd00274
D-Ribulose5-phosphate_c0	-1	C5H10O8P	D-Ribulose5-phosphate_c0	C00199|cpd00171
CDP-1_2-ditetradec-7-enoylglycerol_c0	-2	C40H67N3O15P2	CDP-1_2-ditetradec-7-enoylglycerol_c0	|
1_2-ditetradec-7-enoyl-sn-glycerol_3-phosphate_c0	-1	C31H56O8P	1_2-ditetradec-7-enoyl-sn-glycerol_3-phosphate_c0	|
CDP_c0	-2	C9H13N3O11P2	CDP_c0	C00112|cpd00096
3-Dehydroshikimate_c0	-1	C7H7O5	3-Dehydroshikimate_c0	C02637|cpd01716
trans_trans_cis-Geranylgeranyl_diphosphate_c0	-2	C20H34O7P2	trans_trans_cis-Geranylgeranyl_diphosphate_c0	|
2-isopropyl-3-oxosuccinate_c0	-2	C7H8O5	2-isopropyl-3-oxosuccinate_c0	C04236|cpd02605
3-Isopropylmalate_c0	-2	C7H10O5	3-Isopropylmalate_c0	C04411|cpd02693
4-Hydroxy-L-threonine_c0	0	C4H9NO4	4-Hydroxy-L-threonine_c0	C06056|cpd03608
4-Phosphonooxy-threonine_c0	-1	C4H9NO7P	4-Phosphonooxy-threonine_c0	|
dUMP_c0	-1	C9H12N2O8P	dUMP_c0	C00365|cpd00299
5-Aminolevulinate_c0	0	C5H9NO3	5-Aminolevulinate_c0	C00430|cpd00338
Porphobilinogen_c0	-1	C10H13N2O4	Porphobilinogen_c0	C00931|cpd00689
Precorrin_8_c0	-7	C45H53N4O14	Precorrin_8_c0	|
L-Tryptophan_c0	0	C11H12N2O2	L-Tryptophan_c0	C00078|C00806|cpd00065
PAN_c0	-1	C9H16NO5	PAN_c0	C00864|cpd00644
phosphatidylserine_ditetradec-7-enoyl_c0	-2	C34H60NO10P	phosphatidylserine_ditetradec-7-enoyl_c0	|
beta-D-Glucose_6-phosphate_c0	-1	C6H12O9P	beta-D-Glucose_6-phosphate_c0	|
R-3-Hydroxy-3-methyl-2-oxopentanoate_c0	-1	C6H9O4	R-3-Hydroxy-3-methyl-2-oxopentanoate_c0	|
dCDP_c0	-2	C9H13N3O10P2	dCDP_c0	C00705|cpd00533
dCTP_c0	-3	C9H13N3O13P3	dCTP_c0	C00458|cpd00356
Gly-Leu_c0	0	C8H16N2O3	Gly-Leu_c0	|cpd15604
FAICAR_c0	-1	C10H14N4O9P	FAICAR_c0	C04734|cpd02884
UDP-N-acetyl-D-galactosamine_c0	-2	C17H25N3O17P2	UDP-N-acetyl-D-galactosamine_c0	C00203|cpd00175
2-Oxo-3-hydroxyisovalerate_c0	-1	C5H7O4	2-Oxo-3-hydroxyisovalerate_c0	C04181|cpd02569
dCMP_c0	-1	C9H13N3O7P	dCMP_c0	C00239|cpd00206
Precorrin_4_c0	-7	C44H45N4O17	Precorrin_4_c0	|
Precorrin_5_c0	-7	C45H47N4O17	Precorrin_5_c0	|
Prephenate_c0	-2	C10H8O6	Prephenate_c0	C00254|cpd00219
Pretyrosine_c0	-1	C10H12NO5	Pretyrosine_c0	C00826|cpd00616
1_2-dihexadecanoyl-sn-glycerol_3-phosphate_c0	-1	C35H68O8P	1_2-dihexadecanoyl-sn-glycerol_3-phosphate_c0	|
CDP-1_2-dioctadec-11-enoylglycerol_c0	-2	C48H83N3O15P2	CDP-1_2-dioctadec-11-enoylglycerol_c0	|
1_2-dioctadec-11-enoyl-sn-glycerol_3-phosphate_c0	-1	C39H72O8P	1_2-dioctadec-11-enoyl-sn-glycerol_3-phosphate_c0	|
Pyridoxal_phosphate_c0	-1	C8H9NO6P	Pyridoxal_phosphate_c0	|
Na_c0	1	Na	Na_c0	|
Na_e0	1	Na	Na_e0	|
L-Proline_c0	-1	C5H8NO2	L-Proline_c0	C00148|cpd00129
L-Proline_e0	-1	C5H8NO2	L-Proline_e0	C00148|cpd00129
phosphatidylserine_dioctadecanoyl_c0	-2	C42H80NO10P	phosphatidylserine_dioctadecanoyl_c0	|
1_3-Bisphospho-D-glycerate_c0	-2	C3H6O10P2	1_3-Bisphospho-D-glycerate_c0	|
5-phosphomevalonate_c0	-2	C6H11O7P	5-phosphomevalonate_c0	C01107|cpd00812
Mevalonic_acid_c0	-1	C6H11O4	Mevalonic_acid_c0	|
Phenylpyruvate_c0	-1	C9H7O3	Phenylpyruvate_c0	C00166|cpd00143
Propionyladenylate_c0	-1	C13H17N5O8P	Propionyladenylate_c0	C05983|cpd03560
Thiamine_phosphate_c0	0	C12H17N4O4PS	Thiamine_phosphate_c0	|
4-Amino-2-methyl-5-diphosphomethylpyrimidine_c0	-2	C6H9N3O7P2	4-Amino-2-methyl-5-diphosphomethylpyrimidine_c0	C04752|cpd02894
4-Methyl-5-2-phosphoethyl-thiazole_c0	-1	C6H9NO4PS	4-Methyl-5-2-phosphoethyl-thiazole_c0	|
Pimeloyl-CoA_c0	-4	C28H42N7O19P3S	Pimeloyl-CoA_c0	C01063|cpd00782
Pimelate_c0	-2	C7H10O4	Pimelate_c0	C02656|cpd01727
L-alanylglycine_c0	0	C5H10N2O3	L-alanylglycine_c0	|cpd11585
Isohexadecanoyllipoteichoic_acid_n=24__linked__unsubstituted_c0	-24	C119H232O135P24	Isohexadecanoyllipoteichoic_acid_n=24__linked__unsubstituted_c0	|
Isohexadecanoyllipoteichoic_acid_n=24__linked__N-acetyl-D-glucosamine_c0	-24	C311H544N24O255P24	Isohexadecanoyllipoteichoic_acid_n=24__linked__N-acetyl-D-glucosamine_c0	|
PRPP_c0	-3	C5H10O14P3	PRPP_c0	C00119|cpd00103
Stearoyllipoteichoic_acid_n=24__linked__unsubstituted_c0	-24	C123H240O135P24	Stearoyllipoteichoic_acid_n=24__linked__unsubstituted_c0	|
Stearoyllipoteichoic_acid_n=24__linked__N-acetyl-D-glucosamine_c0	-24	C315H552N24O255P24	Stearoyllipoteichoic_acid_n=24__linked__N-acetyl-D-glucosamine_c0	|
