reaction_id	probability	complex_diagnostic	complex_details	putative_GPR
rxn08549	0	HASCOMPLEXES	///kb|cpx.11 (0.0000; CPLX_NOTTHERE) ///kb|cpx.447 (0.0000; CPLX_NOTTHERE) 	
rxn08548	0	HASCOMPLEXES	///kb|cpx.11 (0.0000; CPLX_NOTTHERE) ///kb|cpx.447 (0.0000; CPLX_NOTTHERE) 	
rxn23979	0	HASCOMPLEXES	///kb|cpx.50106 (0.0000; CPLX_NOREPS) 	
rxn23977	0	HASCOMPLEXES	///kb|cpx.50106 (0.0000; CPLX_NOREPS) 	
rxn08547	0	HASCOMPLEXES	///kb|cpx.11 (0.0000; CPLX_NOTTHERE) ///kb|cpx.447 (0.0000; CPLX_NOTTHERE) 	
rxn01053	0.100076585094151	HASCOMPLEXES	///kb|cpx.400 (0.0000; CPLX_NOTTHERE) ///kb|cpx.398 (0.0243; CPLX_FULL) ///kb|cpx.399 (0.0335; CPLX_FULL) ///kb|cpx.401 (0.1001; CPLX_FULL) 	fig|267377.1.peg.1487
rxn23970	0	HASCOMPLEXES	///kb|cpx.50939 (0.0000; CPLX_NOREPS) 	
rxn23971	0	HASCOMPLEXES	///kb|cpx.50939 (0.0000; CPLX_NOREPS) 	
rxn01071	0	HASCOMPLEXES	///kb|cpx.51087 (0.0000; CPLX_NOREPS) 	
rxn06493	0.790083894415166	HASCOMPLEXES	///kb|cpx.1731 (0.0000; CPLX_NOTTHERE) ///kb|cpx.972 (0.7901; CPLX_FULL) ///kb|cpx.1732 (0.0000; CPLX_NOTTHERE) 	fig|267377.1.peg.1332
rxn23993	0	HASCOMPLEXES	///kb|cpx.50106 (0.0000; CPLX_NOREPS) 	
rxn09160	0.00168642647699954	HASCOMPLEXES	///kb|cpx.195 (0.0017; CPLX_FULL) 	fig|267377.1.peg.276
rxn09161	0.00168642647699954	HASCOMPLEXES	///kb|cpx.195 (0.0017; CPLX_FULL) 	fig|267377.1.peg.276
rxn09162	0.00168642647699954	HASCOMPLEXES	///kb|cpx.195 (0.0017; CPLX_FULL) 	fig|267377.1.peg.276
rxn09163	0.00168642647699954	HASCOMPLEXES	///kb|cpx.195 (0.0017; CPLX_FULL) 	fig|267377.1.peg.276
rxn09164	0.00168642647699954	HASCOMPLEXES	///kb|cpx.195 (0.0017; CPLX_FULL) 	fig|267377.1.peg.276
rxn06306	0	NOCOMPLEXES		
rxn01437	0.807436858391475	HASCOMPLEXES	///kb|cpx.814 (0.0000; CPLX_NOTTHERE) ///kb|cpx.813 (0.8074; CPLX_FULL) 	fig|267377.1.peg.128
rxn01434	0.993062769159362	HASCOMPLEXES	///kb|cpx.683 (0.9931; CPLX_FULL) 	fig|267377.1.peg.73
rxn07307	0.676634332536497	HASCOMPLEXES	///kb|cpx.242 (0.6766; CPLX_FULL) 	fig|267377.1.peg.273
rxn19763	0	HASCOMPLEXES	///kb|cpx.50330 (0.0000; CPLX_NOTTHERE) ///kb|cpx.50967 (0.0000; CPLX_NOREPS) ///kb|cpx.368 (0.0000; CPLX_NOTTHERE) 	
rxn08783	0.0138275349536055	HASCOMPLEXES	///kb|cpx.891 (0.0138; CPLX_FULL) 	fig|267377.1.peg.870
rxn00547	0.0912188541886255	HASCOMPLEXES	///kb|cpx.1386 (0.0912; CPLX_FULL) 	fig|267377.1.peg.418
rxn00544	0	HASCOMPLEXES	///kb|cpx.823 (0.0000; CPLX_NOTTHERE) 	
rxn00545	0	HASCOMPLEXES	///kb|cpx.495 (0.0000; CPLX_NOTTHERE) ///kb|cpx.494 (0.0000; CPLX_NOTTHERE) 	
rxn00543	0.702964924074603	HASCOMPLEXES	///kb|cpx.893 (0.7030; CPLX_FULL) 	fig|267377.1.peg.802
rxn00540	0	HASCOMPLEXES	///kb|cpx.589 (0.0000; CPLX_NOTTHERE) 	
